4352 5 5 0.0 0.0 6.75 0.0065677 0.0557689 2.0471737 0.0034758 0.001825 0.0032021 0.0013288 0.0 93.6326409 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4480 5 5 0.0 0.0 6.71 0.0061078 0.0552832 2.1490592 -0.0015741 0.0016288 0.0033819 0.0013427 0.0 93.7242358 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4608 5 5 0.0 0.0 6.71 0.0063768 0.0536363 1.9466001 0.0034825 0.002162 0.0030701 0.001592 0.0 93.9461222 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4736 6 6 0.0 0.0 6.64 0.0062358 0.0537553 1.8807651 -0.000232 0.0019462 0.0033623 0.0011899 0.0 94.1189075 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4864 6 6 0.0 0.0 6.69 0.0059384 0.0489797 2.2753934 -0.0124068 0.0013253 0.0037761 0.0012859 0.0 94.7228419 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4992 6 6 0.0 0.0 7.19 0.0055331 0.051221 1.7850651 0.0044058 0.0014939 0.002912 0.0008273 0.0 94.3364424 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5120 6 6 0.0 0.0 9.97 0.005473 0.0513243 1.8194024 0.0083715 0.0014905 0.00254 0.0010008 0.0 94.5163582 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5248 6 6 0.0 0.0 9.97 0.005188 0.0504294 1.718482 0.0002687 0.0012699 0.0029459 0.0009959 0.0 94.6130179 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5376 6 6 0.0 0.0 9.6 0.0053483 0.0475587 1.930378 0.0080141 0.001355 0.0024812 0.0008646 0.0 94.9810752 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5504 6 6 0.0 0.0 9.86 0.0048239 0.0454087 1.883972 0.0017678 0.0009723 0.0026071 0.0006669 0.0 95.1837275 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
